Service Type,Base Price,Unit,Markup Percentage,Volume Discounts
online_survey,25.00,per complete,35.0,"{""500+"": 0.05, ""1000+"": 0.10, ""2500+"": 0.15}"
cati_survey,45.00,per complete,30.0,"{""250+""0.05, ""500+"": 0.08, ""1000+"": 0.12}"
in_depth_interview,250.00,per interview,25.0,"{""20+"": 0.05, ""50+"": 0.10}"
focus_group,3500.00,per group,28.0,"{""5+"": 0.05, ""10+"": 0.08}"
online_panel,35.00,per complete,35.0,"{""500+"": 0.05, ""1000+"": 0.10, ""2500+"": 0.15}"
executive_interview,500.00,per interview,25.0,"{""10+"": 0.05, ""20+"": 0.08}"
data_analysis,150.00,per hour,30.0,"{}"
survey_programming,125.00,per hour,32.0,"{}"
report_writing,175.00,per hour,28.0,"{}"
presentation_development,200.00,per hour,25.0,"{}"
project_management,160.00,per hour,30.0,"{}"
translation,0.15,per word,25.0,"{""10000+"": 0.05, ""25000+"": 0.10}"
transcription,2.50,per minute,30.0,"{}"
data_processing,95.00,per hour,32.0,"{}"
ethnographic_research,2500.00,per day,28.0,"{""5+"": 0.05}"
mobile_diary_study,45.00,per participant_day,33.0,"{}"
usability_testing,300.00,per session,27.0,"{""10+"": 0.05}"
mystery_shopping,75.00,per shop,35.0,"{""50+"": 0.05, ""100+"": 0.10}"
face_to_face_interview,150.00,per interview,30.0,"{""50+"": 0.05, ""100+"": 0.08}"
physician_interview,400.00,per interview,25.0,"{""10+"": 0.05, ""25+"": 0.08}"
