ID,Name,Company Name,Contact Person,Contact Email,Services,Specializations,Geographic Coverage,Pricing Model,Base Rate,Quality Rating,Relationship Status,Max Concurrent Projects,Typical Turnaround Days
vendor_001,Global Panel Solutions,Global Panel Solutions LLC,Michael Chen,m.chen@globalpanel.com,"panel recruitment,CATI,data collection","B2B panels,healthcare professionals","North America,Europe,APAC",per_complete,45.00,4.5,preferred,10,14
vendor_002,Insight Fieldwork,Insight Fieldwork Inc,Sarah Miller,sarah@insightfield.com,"face-to-face interviews,mall intercepts,mystery shopping","retail research,location-based research","United States,Canada",hourly,65.00,4.2,approved,5,21
vendor_003,TechSurvey Pro,TechSurvey Professional Services,David Kumar,david.kumar@techsurvey.com,"online panels,mobile surveys,platform hosting","technology users,B2B software users","Global",per_complete,38.00,4.7,preferred,15,7
vendor_004,Translate Global,Translate Global Solutions,Maria Rodriguez,maria@translateglobal.com,"translation,transcription,cultural adaptation","multilingual research,international projects","Global",per_word,0.12,4.6,approved,8,10
vendor_005,DataClean Experts,DataClean Experts Ltd,John Smith,john@dataclean.com,"data processing,coding,tabulation","complex datasets,open-end coding","United States,UK,India",hourly,55.00,4.3,approved,6,14
vendor_006,PharmPanel,PharmPanel Specialists,Dr. Lisa Wong,l.wong@pharmpanel.com,"physician recruitment,patient panels,HCP research","healthcare,pharmaceuticals,medical devices","North America,Europe",per_complete,125.00,4.8,preferred,8,21
vendor_007,Focus Facilities,Focus Facilities Network,Tom Johnson,tom@focusfacilities.com,"facility rental,viewing rooms,recording services","focus groups,in-person research","Major US Cities",per_session,450.00,4.4,approved,20,3
vendor_008,QuickField CATI,QuickField CATI Center,Amanda Lee,amanda@quickfield.com,"CATI,telephone interviews,appointment setting","B2B research,lead generation","United States",per_complete,35.00,3.9,approved,12,14
vendor_009,Premium Insights,Premium Insights Group,Richard Taylor,r.taylor@premiuminsights.com,"executive interviews,C-suite access,B2B panels","senior decision makers,hard-to-reach audiences","Global",per_complete,250.00,4.7,preferred,5,28
vendor_010,Community Panels,Community Panels Inc,Jessica Brown,jessica@communitypanels.com,"consumer panels,community management,diary studies","longitudinal research,brand communities","United States,Canada,UK",monthly_fee,2500.00,4.5,approved,3,30
vendor_011,VideoAnalytics Plus,VideoAnalytics Plus,Mark Stevens,mark@videoanalytics.com,"video recording,transcription,behavioral coding","video research,usability testing","North America",hourly,85.00,4.1,trial,4,14
vendor_012,Asia Research Partners,Asia Research Partners Ltd,Wei Zhang,wei.zhang@asiaresearch.com,"field services,translation,local panels","China,Japan,Korea,Southeast Asia","APAC",per_complete,55.00,4.4,approved,7,21
